,period_begin,period_end,period_duration,region_type,region_type_id,table_id,is_seasonally_adjusted,region,city,state,state_code,property_type,property_type_id,median_sale_price,median_sale_price_mom,median_sale_price_yoy,median_list_price,median_list_price_mom,median_list_price_yoy,median_ppsf,median_ppsf_mom,median_ppsf_yoy,median_list_ppsf,median_list_ppsf_mom,median_list_ppsf_yoy,homes_sold,homes_sold_mom,homes_sold_yoy,pending_sales,pending_sales_mom,pending_sales_yoy,new_listings,new_listings_mom,new_listings_yoy,inventory,inventory_mom,inventory_yoy,months_of_supply,months_of_supply_mom,months_of_supply_yoy,median_dom,median_dom_mom,median_dom_yoy,avg_sale_to_list,avg_sale_to_list_mom,avg_sale_to_list_yoy,sold_above_list,sold_above_list_mom,sold_above_list_yoy,price_drops,price_drops_mom,price_drops_yoy,off_market_in_two_weeks,off_market_in_two_weeks_mom,off_market_in_two_weeks_yoy,parent_metro_region,parent_metro_region_metro_code,last_updated
481830,2018-03-01,2018-03-31,30,county,5,1974,f,"Nassau County, NY",,New York,NY,All Residential,-1,500000.0,-0.0020955992415926,0.0638297872340425,549999.5,0.0018205828779598,0.0018205828779598,314.14381556684606,-0.008200172277015,0.0948445309581253,339.554658503582,-0.0002545270374826,0.0204862724257921,956.0,0.2193877551020408,-0.0174717368961972,985.0,0.3530219780219781,0.0249739854318418,1668.0,0.1377899045020463,-0.0919978225367447,4189.0,0.0530417295123177,-0.0347926267281105,4.4,-0.6999999999999992,-0.0999999999999996,65.0,4.0,-3.0,0.967454613990796,-0.0023490760131316,0.0003291426328509,0.1935146443514644,0.007290154555546,0.0270192692229957,0.1460969205060873,0.0103503141712457,-0.0032118352542812,0.2,0.009065934065934,0.0116545265348595,"Nassau County, NY",35004.0,2023-10-29 14:25:50
482499,2015-11-01,2015-11-30,30,county,5,1974,f,"Nassau County, NY",,New York,NY,Townhouse,13,594000.0,0.0751131221719456,-0.0931297709923664,449000.0,-0.0344086021505376,0.0,260.1191120736329,-0.1022102491050825,-0.1068160612622651,296.88508597883595,0.0117177753471877,0.0692563122984459,13.0,-0.2352941176470588,5.5,7.0,-0.5625,2.5,18.0,0.0,0.5,59.0,-0.0327868852459016,-0.3058823529411764,4.5,0.8999999999999999,-38.0,116.0,26.0,66.0,0.9470957888897044,-0.0131115132181393,0.0180748978753576,0.0,-0.0588235294117647,0.0,0.2372881355932203,0.0569602667407613,0.1666999002991027,0.0,-0.25,0.0,"Nassau County, NY",35004.0,2023-10-29 14:25:50
483384,2020-12-01,2020-12-31,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Condo/Co-op,3,330000.0,0.0377358490566037,0.1785714285714286,460000.0,-0.031578947368421,0.1219525877470581,261.68247155425934,-0.0514010406158099,0.0425739955347053,291.8597021115213,0.0470962274259036,0.177671354893522,231.0,0.1846153846153846,0.190721649484536,123.0,-0.2931034482758621,0.1181818181818181,106.0,-0.369047619047619,0.06,301.0,-0.1908602150537634,-0.2781774580335731,1.3,-0.5999999999999998,-0.8,35.0,4.0,-14.0,0.991560464070228,-0.0039993506246088,0.0148672395303888,0.303030303030303,-0.0354312354312354,0.1380818494220556,0.1229235880398671,-0.0303022184117457,-0.023359385581236,0.1463414634146341,-0.0433137089991589,0.0917960088691796,"Nassau County, NY",35004.0,2023-10-29 14:25:50
484204,2017-11-01,2017-11-30,30,county,5,1974,f,"Nassau County, NY",,New York,NY,All Residential,-1,489300.0,-0.019438877755511,0.0706783369803063,524999.5,-0.009060966402416,0.0521032064128257,309.16844349680173,-0.0208332814994433,0.0574036315313519,326.12378647278706,-0.005514288779454,0.0488905665617291,1061.0,-0.1202321724709783,-0.0074836295603367,766.0,-0.1842385516506922,0.0565517241379309,1125.0,-0.1042993630573247,0.16580310880829,4095.0,-0.0597014925373133,-0.0577542567878508,3.9,0.2999999999999998,-0.1999999999999997,51.0,3.0,-13.0,0.972718177664002,-0.0025276872825225,0.00955024794399,0.1950989632422243,-0.0379026951325683,0.0566518163759942,0.1575091575091575,-0.0413427368651249,0.0065657612827424,0.150130548302872,0.0138153193358858,0.0218546862339065,"Nassau County, NY",35004.0,2023-10-29 14:25:50
484303,2019-06-01,2019-06-30,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,All Residential,-1,405125.0,0.0387820512820513,0.0803333333333333,439000.0,0.0,0.0452629824519632,235.85683312351375,-0.0155675717294226,0.0313665909497586,255.624931832544,0.0034975200081106,0.0686747453503118,1566.0,0.0943396226415094,-0.0560578661844484,1405.0,-0.0792922673656618,-0.0513166779203241,2160.0,-0.1194455768446799,-0.0866807610993657,6733.0,0.0147701582516954,0.0404883325606553,4.3,-0.2999999999999998,0.3999999999999999,43.0,-4.0,5.0,0.9826810533820884,-0.0011220834348593,-0.0002829643785878,0.2905491698595146,0.0319887226198221,-0.022289889814988,0.2337739492054062,0.0096594051210052,0.0089246214353552,0.1487544483985765,-0.034076482138776,-0.0214008520740771,"Nassau County, NY",35004.0,2023-10-29 14:25:50
485776,2023-07-01,2023-07-31,30,county,5,1974,f,"Nassau County, NY",,New York,NY,All Residential,-1,718000.0,0.0410323328983615,0.0041958041958041,725000.0,-0.0196078431372549,0.0740740740740741,452.31296992157496,0.0319786704945501,0.0296771727038207,465.8381211180124,0.002041832767035,0.0585010121611584,965.0,-0.0947467166979362,-0.1594076655052264,920.0,-0.1304347826086956,-0.1441860465116279,1136.0,-0.0838709677419354,-0.1774076755973932,2380.0,0.0004203446826398,-0.2844257366205652,2.5,0.2999999999999998,-0.3999999999999999,26.0,1.0,2.0,0.9976655975195968,0.0043335266673364,-0.0125850191809948,0.4487046632124352,0.0096802729685327,-0.0730723402718853,0.1794117647058823,-0.0021771381944959,-0.0511955714336245,0.2706521739130434,-0.0450378071833648,0.0501870576339737,"Nassau County, NY",35004.0,2023-10-29 14:25:50
487416,2014-04-01,2014-04-30,30,county,5,1974,f,"Nassau County, NY",,New York,NY,All Residential,-1,410000.0,0.0704960835509138,0.0546623794212217,489000.0,0.0866666666666666,0.0426439232409381,258.3165088647545,0.0317531907024248,0.0468616411887419,292.85714285714283,0.0368203508230171,0.0305843815241659,686.0,0.0362537764350452,-0.1294416243654822,938.0,0.4497681607418855,0.1140142517814726,2036.0,0.0899357601713062,-0.0053737176355642,6057.0,0.0785256410256409,-0.0167207792207791,8.8,0.3000000000000007,1.0000000000000009,98.0,-8.0,-16.0,0.9497108318436928,0.0007181649474474,0.0050300893992882,0.08600583090379,-0.0182237763469652,-0.0142479762028088,0.1759947168565296,0.0242853151471279,-0.0098819065200937,0.1375266524520255,-0.0695830847968152,-0.0192429437474993,"Nassau County, NY",35004.0,2023-10-29 14:25:50
489742,2014-06-01,2014-06-30,30,county,5,1974,f,"Nassau County, NY",,New York,NY,Multi-Family (2-4 Unit),4,389000.0,-0.0512195121951219,-0.0262828535669586,479000.0,0.0,0.0668151447661469,224.83392948390397,-0.0191642048027189,0.0347200585941518,292.2290899996427,0.0127809963067953,0.0619082475077239,25.0,0.0,0.25,25.0,0.0,0.0869565217391303,61.0,0.5249999999999999,0.0517241379310344,220.0,0.0731707317073171,-0.0717299578059071,8.8,0.6000000000000014,-3.1,61.0,-105.0,8.0,0.9230309487375792,-0.0150586689555007,-0.0009942197423604,0.08,-0.08,-0.0699999999999999,0.1727272727272727,-0.0419068736141906,0.0503644035289604,0.16,0.08,-0.0139130434782608,"Nassau County, NY",35004.0,2023-10-29 14:25:50
489886,2012-11-01,2012-11-30,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Multi-Family (2-4 Unit),4,303750.0,0.0091362126245846,-0.1352313167259786,299999.0,-0.0881489361702127,-0.0400032,165.65142532051613,0.096222667562239,0.3591911821170554,191.25,-0.0819969399897999,-0.030133495145631,12.0,0.0909090909090908,0.5,4.0,-0.4285714285714286,0.3333333333333332,10.0,-0.5238095238095238,-0.4736842105263158,143.0,-0.1280487804878048,-0.2393617021276596,11.9,-3.0,-11.6,196.0,105.0,23.0,0.9516117561635759,0.0294491666220156,0.0442297454078526,0.25,0.159090909090909,0.25,0.1188811188811188,-0.0030701006310762,-0.0194167534593066,0.0,-0.2857142857142857,-0.3333333333333333,"Nassau County, NY",35004.0,2023-10-29 14:25:50
490258,2023-03-01,2023-03-31,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Single Family Residential,6,535000.0,-0.0219378427787934,-0.0272727272727272,555000.0,0.009090909090909,0.0090954958886175,337.7529658060014,0.0234938357757616,0.0130259107779908,344.79519816015386,0.0045156449503123,0.0480501689724903,806.0,0.1630591630591631,-0.2523191094619665,891.0,0.2875722543352601,-0.321917808219178,1197.0,0.435251798561151,-0.3214285714285714,1978.0,-0.0159203980099502,-0.0897376898297285,2.5,-0.3999999999999999,0.5,48.0,4.0,14.0,0.989158606270784,0.0005167821000733,-0.0242619200709051,0.3870967741935483,-0.0256016385048642,-0.1629959901849302,0.1602628918099089,0.0239444838497099,0.0507368908895224,0.3916947250280583,0.0492091758951103,-0.0299186691880755,"Nassau County, NY",35004.0,2023-10-29 14:25:50
491045,2019-12-01,2019-12-31,30,county,5,1996,f,"Suffolk County, NY",,New York,NY,Condo/Co-op,3,280000.0,-0.0378006872852233,0.0980392156862746,409999.5,0.0250013125032813,0.0539832904884318,250.99654573683293,0.0113635444757722,0.0783724319566112,247.82780093849652,-0.0196685089458206,0.0291815194030149,194.0,0.0659340659340659,0.0374331550802138,110.0,-0.1729323308270677,0.1578947368421053,100.0,-0.3589743589743589,-0.1304347826086956,417.0,-0.166,-0.1257861635220125,2.1,-0.6,-0.5,49.0,6.0,-1.0,0.9766932245398392,-0.0059742953886648,-0.0002468211992061,0.1649484536082474,-0.0163702277104338,-0.0329125089585975,0.1462829736211031,-0.0077170263788968,0.0330754264512918,0.0545454545454545,-0.0732740943267259,-0.0296650717703349,"Nassau County, NY",35004.0,2023-10-29 14:25:50
