median_list_price,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,period_begin,period_end,"region_Nassau County, NY","region_Suffolk County, NY",property_type_All Residential,property_type_Condo/Co-op,property_type_Multi-Family (2-4 Unit),property_type_Single Family Residential,property_type_Townhouse,label
529000.0,25.0,21.0,34.0,83.0,3.3,28.0,0.996196679068908,0.56,0.0963855421686747,0.1428571428571428,737942,737971,0.0,1.0,0.0,0.0,1.0,0.0,0.0,550000.0
375000.0,117.0,78.0,239.0,877.0,7.5,126.0,0.9572171888849272,0.094017094017094,0.1676168757126567,0.0897435897435897,736024,736054,0.0,1.0,0.0,1.0,0.0,0.0,0.0,210000.0
399000.0,1677.0,1256.0,1785.0,6362.0,3.8,48.0,0.9804676126397172,0.2659511031604054,0.2346746306193021,0.1305732484076433,736968,736998,0.0,1.0,1.0,0.0,0.0,0.0,0.0,385000.0
340800.0,730.0,530.0,1492.0,8015.0,11.0,142.0,0.9441527483565229,0.1082191780821917,0.2116032439176543,0.1094339622641509,734624,734654,0.0,1.0,0.0,0.0,0.0,1.0,0.0,315000.0
489900.0,1220.0,955.0,1106.0,2481.0,2.0,35.0,1.0034324037562456,0.5024590163934425,0.0951229343006852,0.2858638743455497,737822,737849,0.0,1.0,0.0,0.0,0.0,1.0,0.0,497000.0
599999.0,1124.0,964.0,1296.0,2508.0,2.2,23.0,1.0247022408465245,0.6316725978647687,0.1937799043062201,0.3412863070539419,738764,738793,0.0,1.0,1.0,0.0,0.0,0.0,0.0,599495.0
375000.0,12.0,30.0,77.0,192.0,16.0,82.0,0.9658829030714032,0.0,0.1979166666666666,0.2,735689,735718,0.0,1.0,0.0,0.0,0.0,0.0,1.0,346000.0
319000.0,959.0,448.0,1159.0,7519.0,7.8,94.0,0.9513099541984668,0.1094890510948905,0.1842000265992818,0.1026785714285714,734716,734746,0.0,1.0,0.0,0.0,0.0,1.0,0.0,325000.0
549000.0,19.0,23.0,21.0,64.0,3.4,20.0,0.994993527293366,0.5263157894736841,0.21875,0.3043478260869565,738368,738398,0.0,1.0,0.0,0.0,1.0,0.0,0.0,640000.0
439000.0,1349.0,1195.0,1873.0,5979.0,4.4,43.0,0.9831851710079303,0.2972572275759822,0.2373306573005519,0.1464435146443514,737211,737240,0.0,1.0,0.0,0.0,0.0,1.0,0.0,415000.0
349000.0,1234.0,710.0,1657.0,9452.0,7.7,61.0,0.9600916831965796,0.1223662884927066,0.1957257723233178,0.1014084507042253,735446,735476,0.0,1.0,1.0,0.0,0.0,0.0,0.0,335000.0
555000.0,18.0,14.0,25.0,51.0,2.8,34.0,1.012501604450901,0.5,0.1764705882352941,0.5,738580,738610,0.0,1.0,0.0,0.0,1.0,0.0,0.0,580000.0
349000.0,747.0,415.0,1278.0,7743.0,10.4,112.0,0.956923082435914,0.1164658634538152,0.0985406173317835,0.1783132530120482,735630,735657,0.0,1.0,1.0,0.0,0.0,0.0,0.0,318750.0
349000.0,176.0,104.0,230.0,1220.0,6.9,67.0,0.9570616043815044,0.0568181818181818,0.1811475409836065,0.1153846153846153,735446,735476,0.0,1.0,0.0,1.0,0.0,0.0,0.0,248500.0
449000.0,43.0,14.0,43.0,218.0,5.1,85.0,0.8966020873311695,0.0930232558139534,0.2247706422018348,0.0714285714285714,735507,735537,1.0,0.0,0.0,0.0,1.0,0.0,0.0,385000.0
499999.0,1773.0,1651.0,1918.0,3615.0,2.0,24.0,1.0241663954513962,0.6333897349125776,0.1737206085753803,0.2549969715324045,738003,738033,0.0,1.0,1.0,0.0,0.0,0.0,0.0,530000.0
419000.0,4.0,1.0,2.0,22.0,5.5,107.0,0.8589533049405438,0.0,0.0909090909090909,0.0,735203,735233,1.0,0.0,0.0,0.0,0.0,0.0,1.0,415000.0
539000.0,16.0,11.0,19.0,60.0,3.8,47.0,0.953936330538578,0.3125,0.0666666666666666,0.0909090909090909,738460,738489,0.0,1.0,0.0,0.0,1.0,0.0,0.0,675000.0
365000.0,12.0,14.0,16.0,99.0,8.3,109.0,0.9391378544171144,0.1666666666666666,0.0909090909090909,0.1428571428571428,736330,736360,0.0,1.0,0.0,0.0,1.0,0.0,0.0,379000.0
349000.0,1000.0,550.0,1564.0,7594.0,7.599999999999999,106.0,0.9586618316846608,0.12,0.1301027126678957,0.14,735995,736023,0.0,1.0,1.0,0.0,0.0,0.0,0.0,315000.0
458888.0,36.0,31.0,45.0,222.0,6.2,83.0,0.9245837160998364,0.0555555555555555,0.1441441441441441,0.1612903225806451,735811,735841,1.0,0.0,0.0,0.0,1.0,0.0,0.0,475000.0
376000.0,807.0,817.0,2109.0,7911.0,9.8,114.0,0.9576094312385086,0.1115241635687732,0.2114776892933889,0.1101591187270501,735719,735749,0.0,1.0,0.0,0.0,0.0,1.0,0.0,340000.0
349000.0,153.0,93.0,233.0,1137.0,7.4,88.0,0.967801091304806,0.0915032679738562,0.2075637642919964,0.075268817204301,735842,735871,0.0,1.0,0.0,1.0,0.0,0.0,0.0,211000.0
339900.0,124.0,73.0,230.0,1355.0,10.9,167.0,0.9484851595681796,0.0725806451612903,0.1933579335793357,0.0821917808219178,734655,734684,0.0,1.0,0.0,1.0,0.0,0.0,0.0,265000.0
329000.0,121.0,67.0,172.0,1235.0,10.2,128.0,0.9503610755187544,0.0495867768595041,0.1692307692307692,0.0597014925373134,734777,734807,0.0,1.0,0.0,1.0,0.0,0.0,0.0,260000.0
649000.0,1144.0,854.0,1100.0,2771.0,2.4,28.0,1.0015272525201129,0.4895104895104895,0.2100324792493684,0.1838407494145199,738034,738063,1.0,0.0,0.0,0.0,0.0,1.0,0.0,680000.0
549999.5,788.0,820.0,1413.0,3511.0,4.5,63.0,0.967530024307318,0.2144670050761421,0.1538023355169467,0.2048780487804877,736754,736784,1.0,0.0,0.0,0.0,0.0,1.0,0.0,510000.0
