credit_score,first_payment_date,mortgage_insurance_percentage,number_of_units,original_combined_loan_to_value,original_debt_to_income_ratio,original_upb,original_loan_to_value,original_interest_rate,property_type,number_of_borrowers,seller_name,servicer_name
766,202208,25,1,90,27,513000,90,5.25,SF,1,Other sellers,Other servicers
669,202208,25,1,90,33,365000,90,5.5,SF,2,Other sellers,Other servicers
682,202208,0,1,75,43,394000,75,5.375,SF,1,Other sellers,Other servicers
768,202207,0,1,80,34,444000,80,5.25,SF,1,Other sellers,Other servicers
719,202207,30,1,95,47,314000,95,5.875,SF,1,Other sellers,Other servicers
688,202207,30,1,95,42,442000,95,5.375,SF,2,Other sellers,Other servicers
726,202207,25,1,90,44,311000,90,5.875,CO,2,Other sellers,Other servicers
747,202207,12,1,85,41,553000,85,5.25,SF,2,Other sellers,Other servicers
726,202207,25,1,90,36,198000,90,5.375,CO,1,Other sellers,Other servicers
745,202208,25,1,90,42,518000,90,5.625,SF,2,Other sellers,Other servicers
790,202208,0,1,80,36,620000,80,5.375,SF,2,Other sellers,Other servicers
641,202208,0,1,53,50,370000,53,5.5,SF,2,Other sellers,Other servicers
691,202207,25,1,90,41,476000,90,5.25,SF,2,Other sellers,Other servicers
786,202208,0,1,80,43,588000,80,5.375,SF,1,Other sellers,Other servicers
796,202207,0,1,80,30,600000,80,5.25,SF,2,Other sellers,Other servicers
693,202208,30,1,95,42,332000,95,5.5,SF,1,Other sellers,Other servicers
800,202208,25,1,90,32,558000,90,5.375,SF,2,Other sellers,Other servicers
709,202207,0,1,80,42,503000,80,5.25,SF,1,Other sellers,Other servicers
726,202208,30,1,95,46,551000,95,5.375,SF,2,Other sellers,Other servicers
694,202208,25,1,90,41,563000,90,5.75,SF,2,Other sellers,Other servicers
763,202208,30,1,95,48,323000,95,5.375,SF,1,Other sellers,Other servicers
724,202208,30,1,95,42,377000,95,5.625,SF,1,Other sellers,Other servicers
765,202208,0,1,80,41,605000,80,5.375,SF,1,Other sellers,Other servicers
719,202208,30,1,94,37,368000,94,5.625,SF,1,Other sellers,Other servicers
744,202208,0,1,80,39,328000,80,5.375,SF,2,Other sellers,Other servicers
753,202208,0,1,58,47,310000,58,5.75,SF,1,Other sellers,Other servicers
638,202208,0,1,80,42,640000,80,5.875,SF,2,Other sellers,Other servicers
765,202208,0,1,80,32,252000,80,5.375,CO,1,Other sellers,Other servicers
716,202208,30,1,95,47,326000,95,5.375,SF,2,Other sellers,Other servicers
720,202208,25,1,90,36,459000,90,5.375,SF,1,Other sellers,Other servicers
799,202208,30,1,95,39,575000,95,5.875,SF,2,Other sellers,Other servicers
790,202208,25,1,87,32,485000,87,5.625,SF,2,Other sellers,Other servicers
642,202208,0,1,80,36,488000,80,5.875,SF,2,Other sellers,Other servicers
777,202208,0,1,80,50,648000,80,4.75,SF,1,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
786,202208,0,1,80,30,505000,80,4.375,SF,1,Other sellers,Other servicers
745,202208,16,1,94,45,426000,94,4.5,SF,1,Other sellers,Other servicers
760,202207,0,1,80,31,234000,80,3.875,CP,2,Other sellers,Other servicers
804,202207,0,1,80,48,220000,80,4.25,CP,1,Other sellers,Other servicers
653,202207,0,1,80,41,152000,80,5.625,CP,2,Other sellers,Other servicers
691,202208,30,1,95,36,689000,95,5.375,SF,2,Other sellers,Other servicers
752,202208,25,1,89,46,359000,89,5.375,SF,2,Other sellers,Other servicers
725,202208,0,1,80,48,532000,80,4.125,SF,2,NEWREZ LLC,Other servicers
802,202208,0,1,80,29,539000,80,4.625,SF,1,NEWREZ LLC,Other servicers
685,202208,30,1,93,45,493000,93,5.5,SF,2,Other sellers,"LAKEVIEW LOAN SERVICING, LLC"
711,202208,30,1,95,32,708000,95,5.5,SF,2,Other sellers,Other servicers
761,202208,12,1,85,38,489000,85,5.375,SF,2,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
655,202208,0,1,80,35,120000,80,6.125,CP,1,"WELLS FARGO BANK, N.A.","WELLS FARGO BANK, N.A."
728,202206,25,1,95,49,445000,95,4.375,SF,2,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
696,202206,0,1,80,29,600000,80,4.5,PU,2,Other sellers,Other servicers
802,202207,30,1,95,24,499000,95,4.75,SF,2,Other sellers,Other servicers
745,202208,25,1,86,39,605000,86,4.875,SF,2,Other sellers,Other servicers
689,202207,25,1,90,36,540000,90,4.99,SF,2,Other sellers,Other servicers
782,202207,0,1,80,27,496000,80,5.125,SF,2,Other sellers,Other servicers
682,202207,25,1,90,39,599000,90,5.0,SF,2,Other sellers,Other servicers
768,202208,25,1,89,50,496000,89,5.125,SF,2,Other sellers,Other servicers
750,202208,0,1,80,39,408000,80,5.25,SF,2,Other sellers,Other servicers
727,202207,0,1,95,36,418000,95,5.5,SF,2,Other sellers,Other servicers
755,202207,25,1,90,35,369000,90,5.375,SF,2,Other sellers,Other servicers
792,202208,0,1,80,26,632000,80,5.5,SF,2,Other sellers,Other servicers
764,202208,0,1,80,36,408000,80,5.125,SF,2,Other sellers,Other servicers
768,202208,30,1,95,49,532000,95,5.25,SF,1,Other sellers,Other servicers
635,202208,12,1,84,47,536000,84,5.875,SF,2,Other sellers,Other servicers
777,202207,30,1,95,46,616000,95,5.625,SF,2,Other sellers,Other servicers
689,202208,0,1,80,45,300000,80,5.625,SF,1,Other sellers,Other servicers
775,202208,25,1,90,42,495000,90,5.625,SF,2,Other sellers,Other servicers
777,202208,0,1,75,45,203000,75,5.375,CP,1,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
748,202208,0,1,80,37,775000,80,5.5,SF,3,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION","JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
751,202208,0,1,80,50,534000,80,4.75,SF,2,Other sellers,Other servicers
810,202208,12,1,82,37,362000,82,5.125,SF,1,"WELLS FARGO BANK, N.A.",NATIONSTAR MORTGAGE LLC DBA MR. COOPER
757,202208,25,1,89,35,420000,89,4.75,SF,2,Other sellers,Other servicers
732,202208,0,1,80,48,424000,80,4.5,SF,2,Other sellers,Other servicers
701,202208,0,1,80,45,464000,80,5.0,SF,2,Other sellers,Other servicers
728,202208,0,1,59,43,499000,59,5.0,SF,2,Other sellers,Other servicers
703,202208,30,1,95,33,500000,95,5.0,SF,2,Other sellers,Other servicers
804,202208,0,1,80,31,220000,80,5.625,CP,1,Other sellers,Other servicers
729,202208,25,1,90,43,567000,90,5.5,SF,2,Other sellers,Other servicers
757,202208,30,1,95,40,432000,95,5.5,SF,2,Other sellers,Other servicers
716,202208,30,1,95,42,437000,95,5.625,SF,2,Other sellers,Other servicers
788,202208,0,1,80,41,384000,80,5.375,SF,2,Other sellers,Other servicers
747,202208,30,1,95,36,608000,95,5.625,SF,2,Other sellers,Other servicers
731,202208,30,1,95,50,451000,95,5.875,SF,2,Other sellers,Other servicers
730,202209,0,1,75,49,245000,75,5.5,SF,1,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
784,202208,30,1,95,35,513000,95,6.125,SF,1,Other sellers,"JPMORGAN CHASE BANK, NATIONAL ASSOCIATION"
