region,property_type,property_type_id,median_sale_price,median_list_price,median_ppsf,median_list_ppsf,homes_sold,pending_sales,new_listings,inventory,months_of_supply,median_dom,avg_sale_to_list,sold_above_list,price_drops,off_market_in_two_weeks,period,timestamp,interest_rate
"Suffolk County, NY",All Residential,-1,400000.0,439000.0,239.4155844155844,260.5919907138712,1387.0,784.0,1649.0,4883.0,3.5,55.0,0.9778214489582384,0.2501802451333813,0.1624001638337087,0.1785714285714285,2020-01-01,1577836800.0,3.72
"Suffolk County, NY",Single Family Residential,6,345000.0,394900.0,209.73015315683827,239.19753086419752,1187.0,1269.0,2085.0,5880.0,5.0,60.0,0.978132302975277,0.2603201347935972,0.2030612244897959,0.1623325453112687,2017-05-01,1493596800.0,4.02
"Suffolk County, NY",Townhouse,13,327500.0,449000.0,233.77331389483527,267.0040473225405,2.0,2.0,8.0,15.0,7.5,182.0,0.993760224351484,0.5,0.2666666666666666,0.5,2020-02-01,1580515200.0,3.45
"Suffolk County, NY",Multi-Family (2-4 Unit),4,387000.0,419990.0,163.91304347826087,239.1980655898724,24.0,19.0,31.0,92.0,3.8,35.0,0.9777998181690551,0.4166666666666666,0.1413043478260869,0.1578947368421052,2018-06-01,1527811200.0,4.54
"Suffolk County, NY",Multi-Family (2-4 Unit),4,675000.0,599999.0,232.1428571428572,360.7496392496392,14.0,12.0,12.0,43.0,3.1,21.0,1.0076420983641892,0.6428571428571429,0.1627906976744186,0.3333333333333333,2023-09-01,1693526400.0,7.12
"Suffolk County, NY",All Residential,-1,372860.0,429900.0,228.353030046312,252.35294117647052,1141.0,1234.0,2310.0,6027.0,5.3,63.0,0.9771630309317796,0.2524101665205959,0.166583706653393,0.2106969205834683,2019-03-01,1551398400.0,4.41
"Suffolk County, NY",Multi-Family (2-4 Unit),4,279000.0,340800.0,108.72448979591836,211.8486768493217,13.0,12.0,33.0,189.0,14.5,154.0,0.8827627151776672,0.1538461538461538,0.1481481481481481,0.1666666666666666,2012-05-01,1335830400.0,3.84
"Suffolk County, NY",Multi-Family (2-4 Unit),4,349800.0,374250.0,189.3939393939394,220.1697443181818,21.0,15.0,35.0,130.0,6.2,74.0,0.923446567094676,0.0,0.1307692307692307,0.0666666666666666,2016-06-01,1464739200.0,3.66
"Suffolk County, NY",Townhouse,13,240000.0,399000.0,212.57750221434893,244.91094147582697,3.0,3.0,3.0,11.0,3.7,24.0,1.0485914644227476,1.0,0.6363636363636364,0.0,2018-10-01,1538352000.0,4.71
"Suffolk County, NY",Multi-Family (2-4 Unit),4,428750.0,419900.0,164.85714285714286,242.06504414827563,12.0,12.0,25.0,78.0,6.5,78.0,0.916155783495979,0.0833333333333333,0.1666666666666666,0.1666666666666666,2018-04-01,1522540800.0,4.4
"Suffolk County, NY",Townhouse,13,607500.0,389000.0,393.33333333333326,240.8008658008658,2.0,1.0,2.0,11.0,5.5,74.0,0.8710691177980898,0.0,0.1818181818181818,0.0,2018-12-01,1543622400.0,4.75
"Suffolk County, NY",Single Family Residential,6,330000.0,349000.0,203.6425902864259,216.150806558483,619.0,364.0,1058.0,6447.0,10.4,113.0,0.9578153604231024,0.1292407108239095,0.1017527532185512,0.1785714285714285,2015-02-01,1422748800.0,3.59
"Suffolk County, NY",Townhouse,13,335000.0,339000.0,162.28070175438597,211.15384615384616,9.0,3.0,22.0,100.0,11.1,8.0,0.9585697640745116,0.1111111111111111,0.17,0.0,2014-10-01,1412121600.0,4.19
"Suffolk County, NY",Condo/Co-op,3,429500.0,599999.0,344.27480916030527,354.1074623051367,180.0,184.0,202.0,266.0,1.5,28.0,0.9979444850885828,0.3722222222222222,0.1954887218045112,0.3695652173913043,2023-06-01,1685577600.0,6.79
"Suffolk County, NY",Single Family Residential,6,327000.0,346499.5,201.66666666666663,211.46087073548213,931.0,516.0,1425.0,7478.0,8.0,85.0,0.9539821809199356,0.1181525241675617,0.1865472051350628,0.1182170542635658,2013-09-01,1377993600.0,4.57
"Suffolk County, NY",All Residential,-1,505000.0,529000.0,301.1363636363636,308.8662790697674,1678.0,1708.0,2298.0,3542.0,2.1,25.0,1.0157379479806137,0.5625744934445768,0.1617730095990965,0.3073770491803278,2021-06-01,1622505600.0,2.99
"Nassau County, NY",Multi-Family (2-4 Unit),4,460000.0,499000.0,220.79346944005468,309.3006488824802,29.0,24.0,47.0,192.0,6.6,70.0,0.9584616034477098,0.1724137931034482,0.1458333333333333,0.2916666666666666,2016-07-01,1467331200.0,3.41
"Suffolk County, NY",Single Family Residential,6,306000.0,339999.0,185.5670103092784,203.94736842105263,539.0,356.0,1183.0,6173.0,11.5,140.0,0.942985560604854,0.0964749536178107,0.1085371780333711,0.1769662921348314,2013-02-01,1359676800.0,3.53
"Suffolk County, NY",Condo/Co-op,3,379999.0,569945.0,303.030303030303,335.9794942238179,145.0,174.0,250.0,334.0,2.3,23.0,1.01783894555191,0.5517241379310344,0.1317365269461078,0.3563218390804597,2022-05-01,1651363200.0,5.27
"Suffolk County, NY",All Residential,-1,315000.0,339000.0,202.7567567567568,211.15384615384616,1257.0,650.0,1604.0,8925.0,7.1,89.0,0.9582886506257376,0.1233094669848846,0.2060504201680672,0.1184615384615384,2014-10-01,1412121600.0,4.19
"Suffolk County, NY",Condo/Co-op,3,290250.0,359000.0,197.96954314720813,220.664890050952,154.0,119.0,255.0,1201.0,7.8,116.0,0.9592411368222326,0.0974025974025974,0.1773522064945878,0.1428571428571428,2013-06-01,1370044800.0,3.91
"Suffolk County, NY",All Residential,-1,550000.0,599000.0,341.0899797391173,345.3016723202171,1088.0,1248.0,1558.0,2370.0,2.2,27.0,1.0069770725196738,0.4963235294117647,0.1658227848101265,0.4110576923076922,2023-05-01,1682899200.0,6.39
"Suffolk County, NY",Single Family Residential,6,446500.0,469000.0,258.9641434262948,274.5285401516928,864.0,626.0,1172.0,3971.0,4.6,49.0,0.9827432538721704,0.2905092592592592,0.1067741123142785,0.2092651757188498,2020-05-01,1588291200.0,3.26
"Suffolk County, NY",Single Family Residential,6,420000.0,449000.0,249.75,262.3673925181463,900.0,948.0,1446.0,4508.0,5.0,61.0,0.9805614914485512,0.2711111111111111,0.1346495119787045,0.2362869198312236,2020-03-01,1583020800.0,3.29
"Suffolk County, NY",Multi-Family (2-4 Unit),4,386750.0,389000.0,194.58502024291496,240.8008658008658,20.0,10.0,22.0,82.0,4.1,58.0,0.9570421118282572,0.2,0.048780487804878,0.2999999999999999,2018-12-01,1543622400.0,4.75
"Nassau County, NY",Single Family Residential,6,616000.0,599999.0,372.244613623924,380.29661016949154,1389.0,845.0,714.0,2674.0,1.9,37.0,0.9846827543273424,0.3254139668826494,0.1346297681376215,0.1349112426035503,2020-12-01,1606780800.0,2.71
"Suffolk County, NY",Single Family Residential,6,480000.0,489000.0,267.5,286.1621137483206,1713.0,1647.0,1837.0,3635.0,2.1,32.0,0.999212032506827,0.4547577349678925,0.1829436038514442,0.2489374620522161,2020-10-01,1601510400.0,2.88
"Suffolk County, NY",Townhouse,13,475000.0,439000.0,210.8088761632069,254.73399458972048,3.0,5.0,10.0,21.0,7.0,25.0,0.9849348784127248,0.3333333333333333,0.3333333333333333,0.4,2019-05-01,1556668800.0,4.14
"Nassau County, NY",Townhouse,13,632500.0,524999.5,289.3412625800549,326.12378647278706,3.0,3.0,3.0,16.0,5.3,29.0,0.96951222722367,0.3333333333333333,0.0625,0.0,2017-11-01,1509494400.0,3.94
"Suffolk County, NY",Multi-Family (2-4 Unit),4,437500.0,377777.0,168.41724013038754,229.00302114803625,24.0,15.0,21.0,73.0,3.0,67.0,0.9803650834451048,0.2916666666666666,0.1780821917808219,0.1333333333333333,2018-01-01,1514764800.0,3.95
"Suffolk County, NY",Single Family Residential,6,380000.0,429900.0,227.97288971041283,252.35294117647052,977.0,1059.0,2005.0,5370.0,5.5,63.0,0.9768847158499372,0.2569089048106448,0.1685288640595903,0.2152974504249291,2019-03-01,1551398400.0,4.41
"Suffolk County, NY",Condo/Co-op,3,315000.0,429000.0,251.21065375302663,262.82503169185765,182.0,152.0,219.0,580.0,3.2,45.0,0.9792896541030816,0.1593406593406593,0.189655172413793,0.1776315789473684,2019-09-01,1567296000.0,3.49
"Suffolk County, NY",Single Family Residential,6,365000.0,399000.0,219.52764976958525,237.41566191694068,870.0,727.0,1471.0,4614.0,5.3,61.0,0.974027920262237,0.2563218390804597,0.1462938881664499,0.18707015130674,2018-02-01,1517443200.0,4.22
"Suffolk County, NY",Multi-Family (2-4 Unit),4,370000.0,375000.0,135.49565217391304,218.79168417366947,16.0,15.0,30.0,124.0,7.8,95.0,0.931440415612371,0.125,0.1290322580645161,0.1333333333333333,2016-03-01,1456790400.0,3.64
"Nassau County, NY",Multi-Family (2-4 Unit),4,463500.0,429990.0,226.4344262295082,282.6483526862503,35.0,25.0,40.0,224.0,6.4,61.0,0.9380631397416764,0.0857142857142857,0.1383928571428571,0.16,2014-08-01,1406851200.0,4.14
"Suffolk County, NY",Single Family Residential,6,525000.0,529000.0,301.9266068768925,308.8662790697674,1425.0,1493.0,1995.0,3076.0,2.2,25.0,1.0178739162034058,0.576140350877193,0.168075422626788,0.3188211654387139,2021-06-01,1622505600.0,2.99
